id_periodico,titulo_periodico,quantidade_volumes,edicao_mais_recente,url_submissao,url_instrucoes,data_obtencao_informacao
bolema,Bolema: Boletim de Educação Matemática,38 números,"2024, Volume: 38",http://mc04.manuscriptcentral.com/bolema-scielo,https://www.scielo.br/journal/bolema/about/,2024-04-07
bor,Brazilian Oral Research,57 números,"2024, Volume: 38",http://mc04.manuscriptcentral.com/bor-scielo,https://www.scielo.br/journal/bor/about/,2024-04-07
bpsr,Brazilian Political Science Review,46 números,"2024, Volume: 18, Número: 1",http://mc04.manuscriptcentral.com/bpsr-scielo,https://www.scielo.br/journal/bpsr/about/,2024-04-07
brag,Bragantia,246 números,"2024, Volume: 83",http://mc04.manuscriptcentral.com/brag-scielo,https://www.scielo.br/journal/brag/about/,2024-04-07
brjp,BrJP,25 números,"2024, Volume: 7",https://www.gnpapers.com.br/brjp/default.asp,https://www.scielo.br/journal/brjp/about/,2024-04-07
cab,Ciência Animal Brasileira,24 números,"2024, Volume: 25",http://www.revistas.ufg.br/vet/index,https://www.scielo.br/journal/cab/about/,2024-04-07
cadbto,Cadernos Brasileiros de Terapia Ocupacional,15 números,"2024, Volume: 32",http://www.cadernosdeterapiaocupacional.ufscar.br/index.php/cadernos/login,https://www.scielo.br/journal/cadbto/about/,2024-04-07
cadsc,Cadernos Saúde Coletiva,46 números,"2024, Volume: 32, Número: 1",http://mc04.manuscriptcentral.com/cadsc-scielo,https://www.scielo.br/journal/cadsc/about/,2024-04-07
cagro,Ciência e Agrotecnologia,102 números,"2024, Volume: 48",http://mc04.manuscriptcentral.com/cagro-scielo,https://www.scielo.br/journal/cagro/about/,2024-04-07
cbab,Crop Breeding and Applied Biotechnology,55 números,"2024, Volume: 24, Número: 1",http://mc04.manuscriptcentral.com/cbab-scielo,https://www.scielo.br/journal/cbab/about/,2024-04-07
ccedes,Cadernos CEDES,81 números,"2024, Volume: 44, Número: 122",http://submission.scielo.br/index.php/ccedes/login,https://www.scielo.br/journal/ccedes/about/,2024-04-07
ccrh,Caderno CRH,43 números,"2023, Volume: 36",http://portalseer.ufba.br/index.php/crh,https://www.scielo.br/journal/ccrh/about/,2024-04-07
ccsci,Critical Care Science,4 números,"2023, Volume: 35, Número: 4",https://mc04.manuscriptcentral.com/ccsci-scielo,https://www.scielo.br/journal/ccsci/about/,2024-04-07
